04/10/2018,TA-35459-CM,Máncora,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,118,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/10/2018,IO-29107-BM,Coishco,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,18,47,65,50,30,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06/10/2018,PL-12082-CM,Chicama (Malabrigo),29,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,4,13,11,4,24,36,32,26,17,10,8,2,4,0,2,0,0,0,0,0
08/10/2018,PS-18128-BM,Sechura (Matacaballo),3,0,0,0,0,0,0,0,0,0,0,1,0,4,12,12,17,15,13,14,15,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/10/2018,CO-19203-BM,Lobitos,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,20,24,52,46,35,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/10/2018,TA-35379-BM,Culebras,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,21,74,90,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/10/2018,PS-11848-BM,Pisco,1,0,0,0,0,0,0,0,0,0,1,0,1,4,3,5,8,12,12,13,28,26,13,19,7,10,10,8,5,4,3,1,0,0,0,0,0,0
13/10/2018,TA-2217-BM,Supe,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17,68,78,27,12,1,0,0,0,0,0,0,0,0,0,0
14/10/2018,CE-17636-BM,Bujuma,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,7,13,12,14,24,15,16,15,18,7,7,0,3,3,1,0,0,0,0,0
15/10/2018,PT-27901-BM,Culebras,1,0,0,0,0,0,0,0,0,0,0,1,0,1,5,3,12,19,34,30,26,38,19,25,13,9,7,4,1,0,0,0,0,0,0,0,0,0
15/10/2018,CE-28225-PM,Juan Pablo,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,6,7,8,11,20,18,37,28,29,17,9,3,7,4,2,0,0,0,0,0
16/10/2018,SY-30996-BM,Chicama (Malabrigo),2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,4,8,9,12,18,20,9,11,4,2,3,0,0,0,0,0,0,0,0,0,0,0
18/10/2018,SN-17861-BM,Pimentel,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,7,8,14,20,20,24,31,23,23,17,14,9,6,0,0,0,1,0,0,0,0
19/10/2018,HO-21009-BM,Pisco,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,18,32,18,24,18,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22/10/2018,SY-41993-BM,Tortugas,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6,10,25,24,26,31,25,16,12,6,3,3,0,1,0,0,0,0,0,0,0
23/10/2018,HO-1166-BM,Zorritos,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,5,9,13,18,11,27,24,17,18,12,10,7,3,4,3,1,0,0
24/10/2018,PL-17597-CM,Pacasmayo,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,30,44,34,17,1,0,0,0,0,0,0,0,0
24/10/2018,ZS-40628-BM,Eten,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,7,3,9,15,15,16,18,25,15,17,10,7,7,3,0,2,1,0,0,0
25/10/2018,CO-6240-PM,Lobitos,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,11,19,20,28,16,20,24,11,6,1,2,0,1,0,0,0,0,0
25/10/2018,SE-18186-BM,Tortugas,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,22,78,59,8,0,0,0,0,0,0,0,0,0
26/10/2018,PL-2123-BM,Yacila,3,0,1,1,0,2,0,2,3,1,2,1,3,1,1,3,4,4,5,7,4,1,2,4,2,1,2,1,2,3,2,3,0,6,2,1,1,0
26/10/2018,PT-30223-CM,Coishco,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,116,0,0,0,0,0,0,0,0,0,0,0
27/10/2018,CE-10532-BM,Huacho,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,22,50,66,55,36,10,3,0,0,0,0,0,0,0,0,0,0,0
27/10/2018,CE-2889-PM,Talara,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,5,4,4,9,16,13,22,19,15,11,9,3,2,4,2,0,0,0,0,0
27/10/2018,PT-40923-BM,Culebras,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,10,19,38,35,21,7,4,1,0,0,0,0,0,0,0,0
28/10/2018,PS-10860-BM,Bayóvar,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,130,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29/10/2018,PT-05509-CM,Zorritos,4,0,0,0,0,0,0,0,0,1,0,0,1,3,9,12,18,24,17,23,16,23,19,13,10,11,4,2,2,1,0,0,0,0,0,0,0,0
30/10/2018,PL-42444-BM,Puerto Pizarro,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,7,13,17,26,37,24,26,18,19,8,5,1,2,1,0,0,0,0,0
30/10/2018,PS-13812-BM,Chimbote,4,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,7,19,25,15,36,33,26,7,15,6,0,0,1,0,0,0,0,0,0,0,0,0
30/10/2018,CE-2980-BM,Ancón,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,20,21,37,42,40,35,18,17,5,2,2,1,0,1,0,0,0,0,0,0,0,0
31/10/2018,ZS-18799-BM,Cancas,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,3,7,12,14,20,21,23,16,13,6,13,6,1,2,2,0,0,0,0,0,0
01/11/2018,CE-29568-CM,Lobitos,7,0,1,0,0,1,0,0,1,0,0,3,0,1,0,1,3,3,1,2,2,1,2,1,2,2,1,0,2,0,3,0,1,0,0,1,0,0
01/11/2018,CO-23138-CM,Talara,1,0,0,0,0,0,0,0,0,2,1,0,0,0,2,1,0,0,0,2,1,2,0,1,0,2,0,1,2,2,2,1,0,1,0,0,3,0
01/11/2018,PL-44077-BM,Ancón,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,42,55,22,2,0,0,0,0,0,0,0,0,0,0,0,0,0
02/11/2018,PL-29434-CM,Chicama (Malabrigo),13,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,1,9,3,6,4,15,4,8,3,5,2,2,0,0,0,1,0,0,0,0
02/11/2018,CO-16079-PM,Ancón,319,0,0,1,1,2,3,3,3,3,3,4,4,4,4,9,7,5,7,7,8,7,1,5,4,6,3,5,2,6,0,1,4,2,5,4,7,0
03/11/2018,TA-37566-BM,Cabo Blanco,2,0,1,0,1,0,3,3,4,2,4,3,1,5,2,1,6,1,3,2,3,3,6,2,0,6,5,1,3,0,3,2,1,3,3,1,3,0
04/11/2018,PT-5901-BM,Lobitos,22,0,0,0,0,0,0,0,0,0,0,0,1,8,9,18,34,33,29,32,16,18,8,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0
04/11/2018,PT-11175-CM,Tierra colorada,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,32,68,46,35,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0
05/11/2018,PT-33629-BM,Bahía Independencia,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,4,11,12,14,17,15,15,14,12,8,2,0,0,2,0,0,0,0,0
06/11/2018,SN-18998-BM,San Jose,1,0,0,0,0,0,0,0,0,0,0,0,3,5,2,6,13,19,28,29,23,19,16,11,10,4,0,2,0,1,0,0,0,0,0,0,0,0
06/11/2018,ZS-21258-BM,Parachique,1,0,0,1,2,0,0,1,2,2,2,2,2,0,0,3,0,1,1,2,2,1,5,2,0,5,2,2,4,2,2,2,3,1,2,0,3,0
07/11/2018,PT-05022-BM,Huarmey,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,64,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/11/2018,IO-22401-BM,Supe,12,0,0,0,0,0,0,1,0,0,1,1,4,6,8,9,17,18,23,31,31,22,17,14,12,10,3,6,2,1,2,0,0,0,0,0,0,0
09/11/2018,PL-18705-PM,San Andres,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5,17,18,21,27,19,30,14,11,6,2,1,1,0,1,0,0,0,0,0,0
09/11/2018,IO-29194-BM,Bahía Independencia,4,1,2,0,0,3,0,1,0,1,3,2,1,0,1,7,4,1,7,3,6,3,1,2,3,1,2,1,0,1,4,1,3,1,1,2,1,0
10/11/2018,IO-5856-BM,Sechura (Matacaballo),4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,12,9,10,30,21,23,30,33,19,17,13,9,2,1,1,0,1,0,0
10/11/2018,PT-6155-CM,Chimbote,7,0,0,0,0,1,1,1,0,0,1,1,0,1,3,1,2,3,2,0,1,0,5,0,1,1,0,1,1,1,1,1,2,0,1,1,3,0
12/11/2018,PL-22643-BM,Parachique,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,13,22,28,30,25,13,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14/11/2018,PL-12806-BM,Callao,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,133,4,0,0,0,0,0,0,0,0,0,0,0,0
14/11/2018,CO-10793-CM,Punta Sal,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,8,16,16,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0
15/11/2018,HO-12799-BM,Bahía Salinas,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,1,5,9,10,9,11,10,10,7,7,6,7,0,0,0,0,0,0,0
15/11/2018,PT-34356-BM,Punta Sal,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,29,81,82,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16/11/2018,ZS-39140-BM,Sechura (Matacaballo),9,0,0,0,0,0,0,0,0,0,0,2,0,5,7,2,12,18,13,18,19,4,9,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0
17/11/2018,TA-3579-BM,Pucusana,13,0,0,2,1,0,2,1,0,4,1,1,2,0,3,2,2,0,10,1,3,3,5,5,1,3,4,5,1,1,4,1,1,3,2,1,2,0
17/11/2018,ZS-38056-CM,Samanco,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,45,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18/11/2018,ZS-18757-BM,Lobitos,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,11,34,29,46,46,39,18,11,2,2,1,0,0,0,0,0,0,0,0,0,0,0
19/11/2018,CO-22308-PM,Puerto Pizarro,223,0,0,0,0,0,0,0,1,0,1,7,3,8,4,5,17,17,19,18,12,18,8,5,4,1,1,2,0,0,0,0,0,0,0,0,0,0
19/11/2018,CE-41117-CM,Los Ferroles,7,0,1,0,0,2,1,2,1,0,4,1,2,3,3,1,1,7,1,7,2,5,2,3,6,5,4,4,2,3,5,4,2,0,2,2,1,0
20/11/2018,ZS-40575-BM,Las Delicias,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,17,44,23,3,1,0,0,0,0,0,0,0,0
20/11/2018,PT-15801-CM,Huarmey,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,5,8,12,18,21,26,15,11,5,7,1,0,0,0,0,0,0,0
20/11/2018,CO-22952-CM,Cancas,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,4,7,14,11,8,4,2,0,0,0,0,0,0,0,0,0,0,0,0
21/11/2018,PT-24636-BM,Puerto Pizarro,1,0,0,0,0,0,0,1,1,1,2,1,0,1,2,2,2,3,2,1,1,2,4,4,2,2,5,2,1,0,2,1,0,3,4,2,1,0
22/11/2018,MO-19311-BM,Végueta,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,50,66,19,0,0,0,0,0,0,0,0,0,0
22/11/2018,TA-33202-BM,Paita,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,25,44,61,45,26,13,2,0,0,0,0,0,0,0,0,0,0
22/11/2018,ZS-17121-BM,Chimbote,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,9,17,30,69,58,40,10,3,0,0,0,0,0,0,0,0,0,0,0,0
23/11/2018,PT-40966-CM,Chancay,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,10,21,13,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
23/11/2018,IQ-007099-PF,Supe,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,33,31,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23/11/2018,TA-15256-BM,Samanco,4,0,1,1,3,2,2,2,3,0,3,6,2,3,4,6,9,6,5,7,7,4,6,5,10,9,5,4,6,5,6,8,4,4,3,2,4,0
24/11/2018,PL-50471-PM,Chorrillos,104,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,7,12,23,9,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
25/11/2018,ZS-18811-BM,Bayóvar,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,96,73,4,0,0,0,0,0,0,0,0,0,0
26/11/2018,CE-23162-CM,Bahía Salinas,8,0,0,1,0,3,0,0,1,3,5,6,0,0,1,4,5,2,5,6,4,8,5,5,4,4,4,8,6,7,11,1,5,3,4,7,4,0
26/11/2018,SY-064,Tambo de Mora,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,7,9,14,16,10,15,8,7,4,3,3,1,0,0,0,0,1,0,0,0,0,0
26/11/2018,CE-6226-BM,Punta La Negra,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,9,13,17,22,30,32,23,28,23,11,13,6,8,1,0,3,0,0,0,0,0,0
26/11/2018,PS-23465-BM,Bahía Independencia,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,5,11,15,18,17,15,10,2,5,2,1,0,0,0,0,0,0,0,0
27/11/2018,PT-4262-CM,Huarmey,16,0,0,1,0,0,1,1,2,1,2,0,0,2,1,0,3,0,1,2,1,1,1,0,2,3,0,0,1,1,2,1,3,2,1,1,2,0
27/11/2018,PS-0530-BM,Tambo de Mora,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,7,8,13,12,11,12,16,18,12,10,3,2,1,1,0,1,0,0,0
28/11/2018,PT-35155-BM,Los Ferroles,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,11,16,16,18,29,11,16,20,8,3,0,0,0,0,0,0,0,0,0
28/11/2018,TA-33202-BM,Pisco,5,0,0,0,0,0,0,0,0,0,0,0,0,2,5,10,19,29,26,23,17,13,17,9,9,1,1,0,0,1,0,0,0,0,0,0,0,0
29/11/2018,CO-16806-CM,Pisco,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,26,22,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0
30/11/2018,IO-4491-BM,Lobitos,1,1,0,0,0,1,1,2,0,0,5,4,1,6,3,9,10,7,8,5,4,4,2,3,9,2,6,3,8,4,4,5,7,6,5,6,5,0
02/12/2018,PT-28168-BM,Puerto Viejo,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,19,37,25,27,12,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0
03/12/2018,PL-5915-CM,Sechura (Matacaballo),34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,5,11,20,18,21,14,19,15,9,9,2,1,1,2,1,0,0,0,0
04/12/2018,CO-5653-CM,Sechura (Matacaballo),20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,16,31,32,28,30,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0
07/12/2018,PL-18108-CM,Pimentel,5,0,0,0,0,0,0,0,0,0,0,0,2,3,6,16,19,30,44,36,26,30,19,10,5,1,0,0,0,0,0,0,0,0,0,0,0,0
07/12/2018,PS-13812-BM,Lobitos,2,0,1,1,0,1,2,1,1,8,3,3,1,3,5,2,3,4,5,4,4,7,3,4,3,5,5,3,5,3,3,4,5,2,2,4,5,0
08/12/2018,PT-22364-CM,Sechura (Matacaballo),27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,20,21,47,24,22,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0
08/12/2018,CE-0212-PM,Chimbote,179,0,0,0,0,0,0,0,0,0,0,2,0,3,6,11,17,29,27,24,16,18,13,9,4,1,0,0,0,0,0,0,0,0,0,0,0,0
09/12/2018,IO-28335-BM,Yacila,1,0,0,0,0,0,0,0,0,2,1,2,1,8,7,16,18,24,23,22,15,22,9,8,4,3,0,0,0,0,0,0,0,0,0,0,0,0
09/12/2018,CO-10313-PM,Punta La Negra,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,41,77,59,23,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/12/2018,IO-22813-CM,Eten,10,0,1,0,0,0,0,1,1,0,1,0,2,0,1,0,2,0,2,2,1,2,1,4,2,3,1,3,3,1,1,3,1,2,1,1,0,0
10/12/2018,CE-1855-PM,Carquín,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,7,16,19,24,26,28,22,18,18,12,13,5,2,5,4,0,0,0
10/12/2018,PT-33520-BM,Los Ferroles,2,0,0,0,0,0,0,0,0,1,0,0,0,2,5,7,12,12,24,25,28,26,25,17,12,12,9,4,0,1,0,0,0,0,0,0,0,0
10/12/2018,PT-27773-BM,Los Ferroles,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,54,123,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/12/2018,PT-4605-CM,Cancas,59,0,0,0,0,0,0,0,0,0,1,0,1,9,12,12,32,33,27,35,27,20,21,11,4,1,2,1,0,0,0,0,0,0,0,0,0,0
14/12/2018,PT-11103-BM,Coishco,7,0,0,0,0,0,0,0,0,0,1,0,0,5,2,13,12,20,23,26,25,29,19,19,15,16,9,5,1,1,0,0,0,0,0,0,0,0
14/12/2018,IO-38706-BM,Paita,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,19,32,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14/12/2018,CO-18309-CM,Las Delicias,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,2,3,6,11,11,18,16,19,27,26,22,15,21,10,6,5,4,2,1,0
14/12/2018,PS-0664-BM,Pacasmayo,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,14,16,14,21,23,23,19,17,15,11,8,3,2,0,0,1,0,0,0,0
15/12/2018,PL-18035-BM,Zorritos,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,32,43,29,10,2,0,0,0,0,0,0,0,0,0,0
16/12/2018,TA-31099-BM,Huacho,6,0,0,0,0,0,1,0,0,0,1,1,1,1,1,2,0,1,0,1,1,0,1,1,2,0,4,1,0,0,0,1,1,0,1,0,2,0
17/12/2018,TA-35026-CM,Chicama (Malabrigo),11,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,12,25,49,36,23,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17/12/2018,CE-36428-CM,Samanco,9,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,9,2,12,8,13,10,21,13,23,16,8,10,9,3,3,1,1,0,0,0,0,0
17/12/2018,PL-2129-BM,Los Ferroles,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,9,9,12,16,15,8,10,4,0,1,1,0,0,0,0
19/12/2018,PS-0071-BM,Ancón,4,0,0,0,0,0,0,0,0,0,0,2,0,1,3,7,3,13,11,11,15,6,20,9,12,5,3,0,2,1,0,0,0,0,0,0,0,0
20/12/2018,TA-32737-BM,Puerto Rico,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,13,18,19,30,35,40,31,16,16,3,1,0,0,0,0,0,0,0,0,0,0,0,0
21/12/2018,PT-6161-CM,Yacila,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,6,4,11,12,15,10,9,5,4,0,0,0,0,0,0,0,0,0,0
22/12/2018,PS-15475-BM,Santa Rosa,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,65,38,0,0,0,0,0,0,0,0,0,0,0,0
22/12/2018,PS-22736-BM,Punta La Negra,5,0,0,0,0,0,0,0,0,0,0,0,0,2,4,5,8,13,17,13,18,22,14,10,3,2,0,1,0,0,0,0,0,0,0,0,0,0
23/12/2018,"ZS-39935-B,",Santa Rosa,2,0,0,0,0,0,0,0,0,0,0,2,1,1,1,5,9,5,18,19,22,23,17,17,15,11,5,1,4,1,3,1,3,0,0,0,0,0
24/12/2018,PS-13810-BM,Parachique,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,11,11,14,13,12,5,10,7,0,0,1,0,1,0,0
25/12/2018,TA-06038-CM,Puerto Pizarro,16,0,0,0,0,0,0,0,0,0,0,1,0,1,5,3,12,9,10,6,5,6,6,5,4,2,2,2,0,0,0,0,0,0,0,0,0,0
25/12/2018,HO-1766-CM,Zorritos,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,18,11,17,19,13,3,0,0,0,0,0,0,0,0,0
25/12/2018,PL-32937-BM,Chimbote,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,20,47,48,17,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26/12/2018,CE-13955-BM,Pimentel,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,4,7,9,6,9,8,3,0,3,0,0,0,0,0,0,0,0,0,0,0
26/12/2018,PS-3618-BM,Casma,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,14,11,14,24,14,20,11,17,5,4,4,3,2,0,0,0,0
27/12/2018,PL-21578-BM,Culebras,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,58,5,0,0,0,0,0,0,0,0,0,0,0
28/12/2018,MO-35563-BM,Máncora,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,17,24,52,55,35,17,3,0,0,0,0,0,0,0,0,0,0,0
31/12/2018,ZS-19515-BM,Zorritos,1,0,0,0,0,0,0,0,0,0,0,0,1,3,3,2,5,13,7,27,22,31,23,15,17,9,6,5,3,4,1,0,0,0,0,0,0,0
31/12/2018,ZS-1786-BM,Chimbote,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,8,3,11,6,4,8,9,6,4,4,5,0,0,1,0,0,0,0,0,0
03/01/2019,IO-21444-CM,Tortugas,12,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,5,6,10,7,22,19,16,18,12,13,4,2,2,1,0,0,0,0,0,0,0,0
03/01/2019,PT-3349-BM,Pucusana,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,11,36,53,46,41,25,4,1,0,0,0,0,0,0,0,0
03/01/2019,CO-21607-BM,Tierra colorada,5,0,0,0,0,0,0,0,0,0,0,1,1,1,3,2,5,14,12,19,16,14,6,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0
04/01/2019,ZS-18311-BM,Puerto Rico,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,7,19,18,30,39,33,20,17,11,2,2,0,0,0,0,0,0,0,0,0,0
04/01/2019,PS-17335-BM,Sechura (Matacaballo),2,0,0,0,0,0,1,0,0,0,1,2,1,0,2,0,1,4,2,2,1,4,2,3,1,0,2,1,1,2,2,1,2,0,0,1,1,0
05/01/2019,PS-0566-BM,Chorrillos,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,6,9,18,24,21,24,17,12,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0
05/01/2019,SY-38263-BM,Bujuma,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,10,11,17,15,21,16,18,11,6,5,0,0,0,0,0,0
06/01/2019,PS-2841-BM,Tortugas,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,23,21,12,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
06/01/2019,PT-26157-BM,Salaverry,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,6,6,8,14,13,21,23,22,26,19,12,9,10,7,4,1,0,0,0,0
07/01/2019,CO-28649-CM,Salaverry,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,14,38,43,38,23,7,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07/01/2019,CO-34909-BM,San Andres,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,7,3,9,9,10,11,20,9,5,5,4,2,0,1,0,2,0,0,0,0
08/01/2019,CE-2457-PM,Puerto Rico,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,35,80,39,3,0,0,0,0,0,0,0,0,0,0,0,0
08/01/2019,ZS-18245-BM,Sechura (Matacaballo),2,0,0,0,0,0,0,0,1,0,0,1,3,4,3,9,9,15,10,11,24,12,17,8,5,3,1,2,0,0,0,0,0,0,0,0,0,0
10/01/2019,PL-4844-BM,Callao,17,0,0,1,1,1,2,1,0,1,1,0,4,3,1,2,2,1,4,2,3,4,1,2,1,2,2,1,2,6,0,5,0,1,5,1,3,0
11/01/2019,TA-29163-BM,Pimentel,2,0,0,0,0,0,0,0,0,0,0,1,0,4,4,15,17,22,26,22,23,16,11,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0
12/01/2019,PT-25868-BM,Sechura (Matacaballo),1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,6,7,6,10,16,11,14,9,14,14,11,15,0,3,3,1,3,0,1,0,0,0,0
13/01/2019,IO-5934-BM,Lobitos,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,16,37,42,14,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0
13/01/2019,IO-21444-CM,Chimbote,1,0,0,0,0,0,0,0,0,1,1,0,3,3,4,5,4,11,13,9,9,13,6,7,2,2,1,4,0,0,0,0,0,0,0,0,0,0
13/01/2019,ZS-6034-BM,Bahía Salinas,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,17,39,44,29,8,4,1,0,0,0,0,0,0,0,0,0
13/01/2019,CO-4882-BM,Las Delicias,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,11,16,32,41,41,26,17,9,3,1,3,0,0,0,0,0,0,0,0,0
13/01/2019,ZS-6506-BM,Juan Pablo,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6,10,18,11,12,17,11,12,14,5,4,0,0,0,0,0,0,0,0
